geoid,index,latitude,longitude,area_in_m,confidence,geometry,plus_code,taxable,tax
34659,34659,5.7565457,-0.22587472,173.0229,0.8732,"POLYGON ((-0.2258586 5.7564632, -0.2259581 5.7565363, -0.2258909 5.7566282, -0.2257913 5.7565551, -0.2258586 5.7564632))",6CQXQQ4F+JM6R,1,0
154234,154234,5.75660883,-0.22985246,23.8666,0.8497,"POLYGON ((-0.229854826174073 5.7565777136703, -0.229883284854196 5.75661339246686, -0.229850093542825 5.75663995155968, -0.229821634865171 5.75660427276172, -0.229854826174073 5.7565777136703))",6CQXQQ4C+J3R8,1,0
93434,93434,5.75665283,-0.22727932,71.4244,0.7342,"POLYGON ((-0.22733120719787 5.7566169490175, -0.227270227575294 5.75671508788866, -0.227227085602878 5.7566881955873, -0.227288676751467 5.75659043791406, -0.22733120719787 5.7566169490175))",6CQXQQ4F+M392,1,0
229372,229372,5.75675831,-0.2274793,63.4265,0.8284,"POLYGON ((-0.227478195545623 5.75670673432504, -0.22752900329953 5.75674477611045, -0.227480416943715 5.75680987408415, -0.227429609191091 5.75677183229304, -0.227478195545623 5.75670673432504))",6CQXQQ4F+P228,1,0
60479,60479,5.75715633,-0.22648545,8.2939,0.726,"POLYGON ((-0.226471638769662 5.75714377447394, -0.226501076761501 5.75714614929114, -0.226499246959348 5.75716890370273, -0.226469808966307 5.75716652888424, -0.226471638769662 5.75714377447394))",6CQXQQ4F+VC67,1,0
222824,222824,5.75734211,-0.22900925,45.4758,0.6546,"POLYGON ((-0.22900364199391 5.75729686839868, -0.229046931890519 5.75731652918602, -0.229014866023958 5.75738735829615, -0.228971576125174 5.75736769750458, -0.22900364199391 5.75729686839868))",6CQXQQ4C+W9QP,1,0
252349,252349,5.7583766,-0.22869009,83.7451,0.8894,"POLYGON ((-0.228692531863175 5.75831488899381, -0.22874624940802 5.75835111321636, -0.228687633525437 5.75843831270282, -0.228633915981067 5.75840208847313, -0.228692531863175 5.75831488899381))",6CQXQQ5C+9G35,1,0
201220,201220,5.75844914,-0.23118465,301.554,0.9475,"POLYGON ((-0.231226521541526 5.75835251906138, -0.231302055394761 5.75843313264505, -0.231169788655044 5.75855745962678, -0.231068232505839 5.75844907366639, -0.231153606380669 5.75836882465704, -0.231179628700753 5.75839659701495, -0.231226521541526 5.75835251906138))",6CQXQQ59+9GGR,1,0
229849,229849,5.7585695,-0.22419207,52.3562,0.7205,"POLYGON ((-0.224203489265186 5.75852305327821, -0.224239416607366 5.75856325669803, -0.224180642634246 5.75861594671718, -0.224144715296053 5.75857574329453, -0.224203489265186 5.75852305327821))",6CQXQQ5G+C8FQ,1,0
252852,252852,5.75867998,-0.22821473,442.2619,0.913,"POLYGON ((-0.228193996776049 5.75854045898831, -0.228344512647826 5.75866493120728, -0.228215126331837 5.75882188767659, -0.228111135849983 5.75873589056215, -0.228150949574992 5.75868759318892, -0.228104424203908 5.75864911805041, -0.228193996776049 5.75854045898831))",6CQXQQ5C+FPF2,1,0
36934,36934,5.75877581,-0.22930504,85.3558,0.897,"POLYGON ((-0.229273742758755 5.75872507778546, -0.229361180845865 5.75875596052033, -0.229336332887205 5.75882653644617, -0.229248894794402 5.7587956537031, -0.229273742758755 5.75872507778546))",6CQXQQ5C+G782,1,0
194535,194535,5.75884489,-0.22793571,35.634,0.8176,"POLYGON ((-0.227951854254406 5.75880990123914, -0.227973313419688 5.7588530858284, -0.227919554940966 5.75887988440735, -0.227898095781078 5.75883669981759, -0.227951854254406 5.75880990123914))",6CQXQQ5C+GRPJ,1,0
109959,109959,5.75911534,-0.23413461,125.7404,0.8244,"POLYGON ((-0.234138137081073 5.75903942473413, -0.234203417422382 5.75908329863417, -0.234131087995072 5.75919126079551, -0.234065807655847 5.75914738688473, -0.234138137081073 5.75903942473413))",6CQXQQ58+J8XP,1,0
78742,78742,5.75920573,-0.22522968,26.3856,0.6888,"POLYGON ((-0.225224291994663 5.75917337862992, -0.22526224627645 5.75920223823538, -0.225235073581766 5.75923808775634, -0.225197119300892 5.75920922814867, -0.225224291994663 5.75917337862992))",6CQXQQ5F+MWJ8,1,0
13384,13384,5.75931806,-0.22581523,36.4332,0.7039,"POLYGON ((-0.225830926896956 5.75928180055763, -0.225854528899073 5.75932163344197, -0.225799544470204 5.75935431681353, -0.225775942472673 5.7593144839279, -0.225830926896956 5.75928180055763))",6CQXQQ5F+PMFQ,1,0
21053,21053,5.75949256,-0.22421657,8.2828,0.685,"POLYGON ((-0.224210878876382 5.75947499492628, -0.224234788089106 5.7594895832083, -0.224222296212033 5.75951012170515, -0.224198386999289 5.75949553342221, -0.224210878876382 5.75947499492628))",6CQXQQ5G+Q8VJ,1,0
103942,103942,5.7594926,-0.23088224,199.7846,0.9247,"POLYGON ((-0.2308773398053 5.75940109660472, -0.230969506814721 5.75946507373704, -0.230887144060158 5.75958410509665, -0.230794977051878 5.75952012794586, -0.2308773398053 5.75940109660472))",6CQXQQ59+QJXQ,1,0
209846,209846,5.75955637,-0.22396036,21.2675,0.795,"POLYGON ((-0.223935885975437 5.75952736318179, -0.223997330927469 5.75956485405254, -0.223984850065874 5.75958537441358, -0.223923405113772 5.75954788354055, -0.223935885975437 5.75952736318179))",6CQXQQ5G+RCF7,1,0
7661,7661,5.75963217,-0.22416391,5.9004,0.654,"POLYGON ((-0.224174399973883 5.75962074970472, -0.224176183130344 5.75964164718745, -0.224153398049327 5.75964359759565, -0.224151614893763 5.75962270011325, -0.224174399973883 5.75962074970472))",6CQXQQ5G+V849,1,0
98183,98183,5.75963577,-0.22415187,8.9282,0.6886,"POLYGON ((-0.224158313244279 5.75961772023852, -0.224168771184249 5.75964478058555, -0.22414544602212 5.75965382367904, -0.224134988083485 5.75962676333209, -0.224158313244279 5.75961772023852))",6CQXQQ5G+V85C,1,0
159602,159602,5.75964404,-0.22462769,21.709,0.7001,"POLYGON ((-0.224646067092408 5.7596150833435, -0.224654829979591 5.75964145529192, -0.224611807198462 5.75967822727416, -0.224602007153236 5.75964873398523, -0.224622691086627 5.75962287545045, -0.224646067092408 5.7596150833435))",6CQXQQ5G+V45Q,1,0
185824,185824,5.75810173,-0.22097086,861.604,0.8985,"POLYGON ((-0.2210166 5.757875, -0.2210498 5.7578747, -0.221052 5.7581208, -0.2209954 5.7581213, -0.2209959 5.7581862, -0.2210525 5.7581857, -0.2210538 5.7583287, -0.2209972 5.7583292, -0.2209974 5.7583534, -0.2209051 5.7583542, -0.2209033 5.7581436, -0.2208789 5.7581438, -0.2208781 5.7580508, -0.2209025 5.7580506, -0.2209009 5.757862, -0.2210164 5.7578609, -0.2210166 5.757875))",6CQXQQ5H+6JR5,1,0
166963,166963,5.75851317,-0.21986139,55.539,0.8192,"POLYGON ((-0.219894483306926 5.75847907979571, -0.219895730334348 5.75854600394476, -0.219828294642597 5.75854726450116, -0.219827047623221 5.75848034035572, -0.219894483306926 5.75847907979571))",6CQXQQ5J+C32F,1,0
819,819,5.75932764,-0.22020335,30.0931,0.7803,"POLYGON ((-0.220233300437511 5.75930098894189, -0.220204187630934 5.75936775521926, -0.220173418076708 5.75935429574047, -0.220202530884948 5.75928752946546, -0.220233300437511 5.75930098894189))",6CQXQQ5H+PWM3,1,0
58147,58147,5.75967524,-0.22338028,28.0718,0.8563,"POLYGON ((-0.223403825477031 5.75964904188064, -0.223395093016717 5.75970720723338, -0.223356729134965 5.75970142927379, -0.223365461598515 5.75964326392342, -0.223403825477031 5.75964904188064))",6CQXQQ5G+VJH5,1,0
